rank,team,country,score
867,Kerbal Trading Program,Netherlands,185107
868,deadlyhalo3021,United Kingdom,185107
869,Hive Frequency,United States,185105
870,MathUnderDogs,India,185094
871,Delphi,India,185086
872,EigenTraders,India,185078
873,moonshot67,Germany,185077
874,DiscordMods,United States,185077
875,SOLAYOOR GANJA THOTTAM,India,185069
876,WhatsTheGoodWord,United States,185059
877,Cinnamon Toast Crunch,United States,185048
878,Diworsification,Australia,185014
879,alphaholics,Austria,185011
880,The Alpha Squad,India,185002
881,LxL,United States,185000
882,Tropical Goats,United States,185000
883,aww,Canada,184984
884,Short Gamma Society,Australia,184971
885,whhnbh,United States,184952
886,qaxz,United States,184932
887,Buky Boys,Australia,184929
888,Stans fans,United States,184927
889,WinstonSociety,Sweden,184922
890,Event Horizon,India,184891
891,EshaanGupta,India,184883
892,surelypained,United States,184876
893,Schrodingers Alpha,United States,184862
894,Sorora,Ireland,184856
895,MiNI short,Poland,184853
896,prosperity hope,India,184847
897,CosmicTea,Germany,184845
898,Four Quick Bisons,Poland,184842
899,Maka8aka,United States,184838
900,Tet-Trio,United States,184832
901,martial_scholar,Italy,184830
902,HAL,France,184825
903,Smooth Operator,Slovakia,184817
904,Hampton Square Capital,United Kingdom,184806
905,EconIsARealMajorWeSwear,United States,184793
906,Team Honeydew,United States,184792
907,House of David,United States,184791
908,Noisy_Room,India,184786
909,S_L_O_N_ X They Cheated,Netherlands,184786
910,Stilpo Capital,Australia,184768
911,Hudson Bay Trading,Canada,184758
912,Haaslers,United States,184751
913,wasd,Germany,184746
914,SikeRus,Singapore,184742
915,What the Sigma trading,Gibraltar,184739
916,I cant trade,Australia,184724
917,Webster,United States,184718
918,SIngularity,Taiwan,184714
919,BKC_StratX,India,184706
920,I_Love_pie,India,184702
921,Overfit Champs,France,184701
922,Bingo Bongo,United States,184697
923,Mammoth,United States,184685
924,stinkies,Australia,184682
925,yaywin,United States,184677
926,Outpost One,Netherlands,184676
927,Something_like_this,India,184664
928,San Ti Ren,Estonia,184657
929,Hallucination,United States,184643
930,metrics,United States,184641
931,No Time For Caution,United Kingdom,184632
932,Alpha Hunters Padua,Italy,184627
933,Phoenix,India,184623
934,jbeans,Canada,184621
935,Statistical Anomaly,United States,184619
936,OTTD_Master,Czech Republic,184619
937,Molumel,United Kingdom,184617
938,Le_Kontinent,France,184613
939,Mythos Max,Hong Kong,184597
940,Mythos,Belgium,184593
941,ijustwokeupfromadream,United States,184590
942,Liewn,United States,184590
943,Byte me,United States,184580
944,RookAtHimThatsMyQuant,United States,184572
945,Tradewives,Switzerland,184565
946,yueqianlongma,United States,184562
947,Christ is King,United Kingdom,184547
948,Jelly Jelly Jelly Cat,Australia,184541
949,TSProsperity,France,184540
950,StardustCrusaders,United States,184527
951,HighFlyers,Netherlands,184523
952,LookAtMyQuant,Netherlands,184522
953,Space Wandering Dudes,Netherlands,184519
954,IMC zebi,France,184518
955,71000TICKET,India,184516
956,The Duck Company,Australia,184500
957,Hygge Hedgers,Denmark,184496
958,Beeler Boiz,United States,184495
959,Winston Overwatch,United States,184483
960,OpenTrade,Latvia,184480
961,Limitless LiQuidity,India,184472
962,DeltaNotNeutral,Singapore,184465
963,ANAI Strategies,Hong Kong,184457
964,Hypex Capital,Singapore,184444
965,Batice,Croatia,184444
966,Baddy baddies,India,184433
967,Team Sentient,United Kingdom,184428
968,Cosa,United States,184422
969,No risk no reward,United States,184419
970,Hack The Trade,France,184414
971,Ad astra per aspera,Canada,184414
972,Yalaxy,China,184405
973,Quant Bros,Switzerland,184401
974,Astraeus,United States,184397
975,Profiteers,Netherlands,184389
976,HappHappyYay,United States,184376
977,Gamma Quants,United States,184350
978,Eigenvalue,United Kingdom,184345
979,parola capital,Italy,184342
980,Pile-1,United States,184341
981,Delta Hedgehogs,Australia,184338
982,yungdum,Hong Kong,184337
983,GoofyGods,India,184331
984,Java Bandits,United States,184326
985,LordsOfProsperity,India,184325
986,UNIMELB MSD,Australia,184322
987,Stochastic Pirates,Canada,184322
988,Karat Capital,United Kingdom,184317
989,brobrobrobro,China,184312
990,Bingo,United States,184302
991,Overfit Orbits,Germany,184299
992,Xiumalu,China,184297
993,Forgetful Functors,Australia,184296
994,YCJH,Canada,184295
995,Heisenburgers,India,184283
996,Drei Rauber Investments,United Kingdom,184281
997,Mayday,China,184268
998,RyuuBetain,India,184266
999,sinkin,United States,184252
1000,Big4,United Kingdom,184249
1001,PeopleOfBoraros,Hungary,184238
1002,Cosmic_Ash,India,184237
1003,Osmanthus,United States,184227
1004,La Bottega,United Kingdom,184223
1005,big big chungus,United States,184222
1006,Anson,United States,184195
1007,ClankerBot67,United Kingdom,184194
1008,big rocks,Australia,184191
1009,DevilQuant,United States,184182
1010,mutualfundssahihai,India,184177
1011,BLANC,India,184175
1012,Degenerate Capital,United States,184174
1013,Moneypolists,India,184172
1014,chowefficient,United States,184167
1015,GabeTrade,Switzerland,184167
1016,Jolly Ranchers,United States,184161
1017,USS Enterprise,Hong Kong,184158
1018,Sonnet 1,United States,184153
1019,SEVEN,India,184150
1020,Team JR,France,184148
1021,GD-13,United States,184124
1022,ORF527,United States,184123
1023,Space_Conquistadors,United States,184121
1024,4Alpha,United States,184120
1025,HireMePLSSSSSSSSSSSSSSS,Singapore,184115
1026,Calogero,Germany,184112
1027,TheBakas,Ireland,184109
1028,Cosmic Molecules,India,184109
1029,PierpointPnL,United States,184106
1030,I_Have_Endsems,India,184100
1031,TradetotheTop,Australia,184095
1032,PaypalMafia,United States,184090
1033,Clocksense Trading,India,184088
1034,GongXiFaCai,India,184084
1035,NQ,United States,184082
1036,TheLegend27,United Kingdom,184072
1037,FinWiz,India,184063
1038,Avalon,United Kingdom,184060
1039,88 Pineapple,United States,184056
1040,MQT,India,184054
1041,Stephenson Trading,United States,184051
1042,ZBTraders,Brazil,184050
1043,Maroon Alpha,United States,184041
1044,Garuda Trading,United Kingdom,184031
1045,GotLucky,Romania,184030
1046,HSCGC,United Kingdom,184028
1047,AlphaChase,Netherlands,184021
1048,Karthik,United States,184020
1049,Stellar Arbitrage,United States,184020
1050,hypxi,Canada,184011
1051,Trinity,India,183993
1052,3Rice1Potato,Switzerland,183989
1053,Hunter-Gatherers,United States,183982
1054,Data diggers,Croatia,183971
1055,Dexterity,United States,183970
1056,Ontological Strategies,United States,183969
1057,Snack_Overflow,India,183965
1058,The Market Bakers,Switzerland,183962
1059,MACDaddies,India,183959
1060,HiddenLabel,Turkey,183946
1061,The Rho-an Empire,United States,183944
1062,Waterloo FTW,Canada,183927
1063,Dragon,United States,183917
1064,Paracetamol,India,183909
1065,Minghui Li TT10,China,183908
1066,Blueberry,United States,183907
1067,Thats my Quant,Germany,183907
1068,Phishing Cats,United States,183895
1069,Cab Team,United Kingdom,183895
1070,market maxxer,India,183886
1071,5SCLAT,Netherlands,183877
1072,Prosperous guys,United Kingdom,183872
1073,I am C,United States,183871
1074,L8,United Kingdom,183865
1075,Spongebob,Australia,183864
1076,404BrainNotFound,United States,183840
1077,ISEG,Portugal,183838
1078,Alpha cartel,India,183822
1079,DeltaxTradingCorp,United States,183805
1080,MatchaClub,Switzerland,183804
1081,Gamma scalpers,India,183793
1082,orz_alarm,India,183783
1083,FinnaTrade,United States,183774
1084,OMEGA,United Kingdom,183769
1085,Never Lucky,Australia,183769
1086,TedJiangs_Disciples,United States,183760
1087,Margin Called,Canada,183757
1088,BreakFromValley,United States,183752
1089,QuantLabITAM,Mexico,183749
1090,Alpha-BG Lovers,United States,183745
1091,kylemon,United Kingdom,183741
1092,Stalas ir kede,Lithuania,183730
1093,Eric,United States,183728
1094,Cornell University,United States,183725
1095,Sackcers,India,183724
1096,TJ,China,183720
1097,Perity the platypus,Turkey,183702
1098,Frankfurt Atzen,Germany,183695
1099,SURREAL,China,183692
1100,AlphaAliens,Ireland,183686
1101,ate that up,United Kingdom,183678
1102,goldgoldgold,Germany,183675
1103,AustinArbitragers,United States,183675
1104,TEAM_ROCKET,India,183671
1105,6amClub,India,183668
1106,Doesnt_Matter,India,183667
1107,FrankfurtGammaGalaxy,Germany,183656
1108,Lunar Leverage,Switzerland,183649
1109,semi-circle,United States,183645
1110,MIKUMIKUBEAM,United States,183643
1111,Alphalikeberkeley,United States,183641
1112,AstoundingTexasHedgers,Germany,183640
1113,UCS,United Kingdom,183638
1114,RUIT,United States,183634
1115,Adeptus Mechanicus,India,183628
1116,LTCM,Ireland,183623
1117,Aiiiii,China,183622
1118,NoFundamentalKnowledge,India,183615
1119,induction hunters,India,183612
1120,Power Rangers SPD,United States,183610
1121,Robotii,Romania,183607
1122,Black Hole Arbitrage,United States,183590
1123,Titans,India,183589
1124,Algoholics,Switzerland,183585
1125,SeashellsInSpace,Australia,183584
1126,BigOopsNotation,United States,183583
1127,Jukdo,South Korea,183567
1128,Capital of Oz,Australia,183561
1129,Probability Princes,United States,183560
1130,2rs ki Pepsi,India,183554
1131,1113 Ducks,United States,183551
1132,SuperVoids,Singapore,183543
1133,Head of Vol and Hybride,France,183534
1134,NULL,India,183532
1135,FindTheGap,Romania,183530
1136,TeamZero,China,183526
1137,GammaCapital,United Kingdom,183524
1138,Nemeth,United States,183522
1139,Rich or Behind Wendys,United Kingdom,183520
1140,Mavs,United States,183511
1141,Durham Dynamites,United Kingdom,183510
1142,Twisted Fate,Australia,183501
1143,Lasso,Netherlands,183500
1144,placeholder67,United States,183498
1145,FrostedDawn,United States,183482
1146,Shell Street Capital,United States,183477
1147,GalaxyStars,Australia,183476
1148,IHQ,United States,183463
1149,Prime Force,India,183460
1150,league of legends,United States,183460
1151,FlexAlpha,Canada,183453
1152,CH1,India,183453
1153,EXIST07,China,183450
1154,urzisoft,Romania,183446
1155,Witch of Agnesi,Canada,183445
1156,Palm Beach Team,France,183428
1157,Trade Chefs,India,183423
1158,The Bullpen,United States,183423
1159,ax0080,Taiwan,183421
1160,DieAlone,India,183413
1161,Permanently Bored,India,183412
1162,DeltaHunters,India,183410
1163,mcdonalds cheeseburger,United States,183399
1164,Orgalorg Capital,Australia,183399
1165,Polish Mountain,Poland,183391
1166,hachiware,South Korea,183391
1167,RiftWalkers,United Kingdom,183387
1168,Plumbers,Romania,183386
1169,Red pop Green pop,India,183377
1170,Harvard Brawl Stars,United States,183374
1171,MensEtManus,India,183372
1172,AnchorDown,United States,183370
1173,aaaaaaawawaw,Canada,183367
1174,Sota,South Korea,183364
1175,DAZZLE-_-TNT,United States,183358
1176,guers,Australia,183352
1177,Space Janitors,India,183350
1178,Enlightened,India,183347
1179,papa bunny,United States,183331
1180,Black scHoles Bulls,Netherlands,183328
1181,Borel Sigma Algebra,United States,183324
1182,EpicIsland505,United States,183319
1183,Pull The Trigger,United Kingdom,183311
1184,Baroq tech,Australia,183310
1185,2sigmas,India,183307
1186,crtrading,United States,183298
1187,IST Quant,Portugal,183297
1188,Babus Bots,United States,183294
1189,The Eridians,India,183293
1190,Meteorite pirate,China,183288
1191,Filler Team Name,United States,183284
1192,Veknik,Germany,183278
1193,FillerTeamName,United Kingdom,183274
1194,i am see,United States,183266
1195,Adidas All-Stars,United States,183262
1196,Kern-der-TBA,Germany,183260
1197,nothingunique,United States,183255
1198,Siddharth Mittal,India,183253
1199,Nautilus,Australia,183246
1200,FeynmanKac,Italy,183244
1201,TeamQuant,Australia,183236
1202,john pork cash money,United States,183231
1203,WAWApaninis,United States,183230
1204,Platypus,United Kingdom,183224
1205,Tangent Tradeblazers,United States,183219
1206,Team Chandrayaan,United States,183209
1207,ebkimkc,India,183194
1208,BoomBoom,United Kingdom,183193
1209,A Bad Code Department,Australia,183189
1210,AlphaMaxxers,Sweden,183187
1211,CJ Capital,United States,183185
1212,QUANTARDS,India,183158
1213,Mission MOMO,United States,183156
1214,spaceship,India,183153
1215,Gowda Reborn,India,183141
1216,Delta_Volatility_Rider,Netherlands,183138
1217,TEKEV67,Australia,183115
1218,Schaga Trading,Netherlands,183101
1219,Pareto ke Parrot,India,183097
1220,ijustwannatry,Australia,183092
1221,EasyPeasy,United States,183085
1222,I M Caffeinated,India,183083
1223,Shai hulud,United States,183082
1224,Voyager 3,Germany,183079
1225,TheIllini,United States,183074
1226,state street,United States,183056
1227,Are you winning son,India,183053
1228,asdfgqwerty,Singapore,183050
1229,Patchwork,India,183024
1230,D4C,India,183007
1231,TheBigSpoof,Netherlands,183003
1232,CoinToss Voyager,Belgium,182992
1233,TEAM V,Germany,182985
1234,Algoveivaajat,Finland,182983
1235,6Billion,China,182975
1236,Nah Id Lose,Australia,182968
1237,Alpha void,India,182962
1238,elite 123,India,182961
1239,team ya,United Kingdom,182960
1240,Spurious Regression,Netherlands,182956
1241,Quazy Quants,Italy,182952
1242,MY_UNIQUE_TEAM,India,182950
1243,forged_in_fire,India,182946
1244,The Three Marketeers,United States,182941
1245,Japan Trip Funding,United States,182939
1246,lIama,Switzerland,182932
1247,Deyanik,United States,182930
1248,CP Alpha,Australia,182925
1249,Black scHoles,United States,182920
1250,TradeWiz7,India,182916
1251,Proton,Australia,182911
1252,VaJo,Switzerland,182908
1253,Galoisian,Switzerland,182900
1254,Vol,Ireland,182897
1255,Asbestos,India,182896
1256,Ladh_khors,India,182863
1257,HyPeRKrEw,India,182854
1258,The IMCredibles,United States,182846
1259,magictrades,United States,182840
1260,AlphaEngine,United Kingdom,182829
1261,Aphelion Capital,Australia,182824
1262,Amadeus,France,182813
1263,Last but not Least,Germany,182810
1264,Alpha Scalpers,United States,182808
1265,Kernel Wizards,United Kingdom,182806
1266,not_a_trader,China,182798
1267,The Morningstar,India,182794
1268,SIGMA_X,France,182769
1269,JUaris,India,182750
1270,Point of no Return,India,182748
1271,Ecole Centrale Lyon,France,182742
1272,Grim Patrons,France,182723
1273,Turningscholars,United States,182712
1274,Money Maker,United Kingdom,182710
1275,Beckett n em,United States,182688
1276,Vertex,South Korea,182682
1277,The Cointegration Carte,Netherlands,182672
1278,Nimitz,Canada,182662
1279,Wreck the Orderbook,United States,182656
1280,QuantMinions,Vietnam,182644
1281,PHK_1729,United States,182642
